Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,All Open Access Documents,Category Normalized Citation Impact,% Hot Papers,Journal Normalized Citation Impact,ISSN,% Highly Cited Papers,Publisher (unified),Source Type,WoS Categories,% All Open Access Documents,Journal Impact Factor,JIF Quartile,Documents in Top 1%,Documents in Top 10%,Hot Papers,% Documents in Top 1%,% Documents in Top 10%,Highly Cited Papers,Times Cited without Self-Citations,International Collaborations,% International Collaborations,Immediacy Index,Average JIF Percentile,Gold Documents,Gold - Hybrid Documents,% Gold Documents,% Gold - Hybrid Documents
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,4,12,2484,100.0,0,0.64425,0.0,1.8475,1521-9437,0.0,,Journal,MYCOLOGY;PHARMACOLOGY & PHARMACY,0.0,1.2,Q4,0,0,0,0.0,0.0,0,6,2,50.0,0.3,6.6,0,0,0.0,0.0
PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,2,12,2484,100.0,1,0.28155,0.0,0.595,0079-6107,0.0,Elsevier (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOPHYSICS,50.0,3.8,Q2,0,0,0,0.0,0.0,0,11,1,50.0,1.6,64.1,0,0,0.0,0.0
WORLD JOURNAL OF CLINICAL ONCOLOGY,2,12,2484,100.0,2,0.24235,0.0,0.51,2218-4333,0.0,,Journal,ONCOLOGY,100.0,2.8,n/a,0,0,0,0.0,0.0,0,12,0,0.0,0.4,n/a,2,0,100.0,0.0
BIORESOURCES,6,12,2484,66.67,5,1.7448166666666667,0.0,0.48833333333333334,1930-2126,0.0,,Journal,"MATERIALS SCIENCE, PAPER & WOOD",83.33,1.5,Q2,0,1,0,0.0,16.67,0,8,0,0.0,0.4,59.5,5,0,83.33,0.0
WORLD JOURNAL OF HEPATOLOGY,2,12,2484,50.0,1,0.1827,0.0,0.23500000000000001,1948-5182,0.0,,Journal,GASTROENTEROLOGY & HEPATOLOGY,50.0,2.4,n/a,0,0,0,0.0,0.0,0,12,0,0.0,0.3,n/a,1,0,50.0,0.0
OCEAN ENGINEERING,4,12,2484,75.0,2,1.4528000000000003,0.0,1.1600000000000001,0029-8018,0.0,Elsevier (Unified),Journal,"ENGINEERING, CIVIL;ENGINEERING, MARINE;ENGINEERING, OCEAN;OCEANOGRAPHY;WATER RESOURCES",50.0,5.0,Q1,0,1,0,0.0,25.0,0,10,2,50.0,1.0,90.3,0,2,0.0,50.0
POLAR SCIENCE,4,12,2484,75.0,2,0.255625,0.0,0.44750000000000006,1873-9652,0.0,Elsevier (Unified),Conference Proceedings,"ECOLOGY;GEOSCIENCES, MULTIDISCIPLINARY",50.0,1.8,Q3,0,0,0,0.0,0.0,0,10,2,50.0,0.5,31.1,0,2,0.0,50.0
COMPUTATIONAL & APPLIED MATHEMATICS,6,12,2484,66.67,2,1.5434333333333334,0.0,0.9366666666666666,2238-3603,0.0,Springer Nature (Unified),Journal,"MATHEMATICS, APPLIED",33.33,2.6,Q1,0,2,0,0.0,33.33,0,10,2,33.33,0.8,85.2,0,0,0.0,0.0
ACTA PSYCHIATRICA SCANDINAVICA,2,12,2484,100.0,1,0.46525000000000005,0.0,0.315,0001-690X,0.0,Wiley (Unified),Journal,PSYCHIATRY,50.0,6.7,Q1,0,0,0,0.0,0.0,0,12,2,100.0,1.0,82.7,0,0,0.0,0.0
PROGRESS IN ENERGY,1,12,2484,100.0,1,0.33080000000000004,0.0,0.26,n/a,0.0,,Journal,n/a,100.0,n/a,n/a,0,0,0,0.0,0.0,0,11,1,100.0,n/a,n/a,0,1,0.0,100.0
ANGIOLOGY,4,12,2484,75.0,4,0.3249,0.0,0.8625,0003-3197,0.0,Sage (Unified),Journal,PERIPHERAL VASCULAR DISEASE,100.0,2.8,Q3,0,0,0,0.0,0.0,0,11,3,75.0,0.8,44.9,0,0,0.0,0.0
GEOBIOLOGY,2,12,2484,50.0,0,0.36365000000000003,0.0,0.35000000000000003,1472-4677,0.0,Wiley (Unified),Journal,"BIOLOGY;ENVIRONMENTAL SCIENCES;GEOSCIENCES, MULTIDISCIPLINARY",0.0,3.7,Q2,0,0,0,0.0,0.0,0,10,2,100.0,0.3,65.1,0,0,0.0,0.0
NOTRE DAME JOURNAL OF FORMAL LOGIC,2,12,2484,100.0,0,2.6542000000000003,0.0,3.575,0029-4527,0.0,,Journal,LOGIC;MATHEMATICS;PHILOSOPHY,0.0,0.7,Q2,0,1,0,0.0,50.0,0,10,0,0.0,0.2,49.1,0,0,0.0,0.0
TRASHUMANTE-REVISTA AMERICANA DE HISTORIA SOCIAL,20,12,2484,35.0,17,0.50491,0.0,1.2245000000000001,2322-9381,0.0,,Journal,"HUMANITIES, MULTIDISCIPLINARY",85.0,0.2,n/a,0,1,0,0.0,5.0,0,12,1,5.0,0.0,n/a,17,0,85.0,0.0
ELECTRONIC NOTES IN THEORETICAL COMPUTER SCIENCE,9,12,2484,55.56,9,0.18886666666666665,0.0,0.39333333333333337,1571-0661,0.0,Elsevier (Unified),Conference Proceedings,n/a,100.0,n/a,n/a,0,0,0,0.0,0.0,0,12,6,66.67,n/a,n/a,9,0,100.0,0.0
ORGANISMS DIVERSITY & EVOLUTION,7,12,2484,57.14,1,0.29309999999999997,0.0,0.36714285714285716,1439-6092,0.0,Springer Nature (Unified),Journal,EVOLUTIONARY BIOLOGY;ZOOLOGY,14.29,1.6,Q2,0,0,0,0.0,0.0,0,12,5,71.43,0.6,40.5,0,0,0.0,0.0
APPLIED RESEARCH IN QUALITY OF LIFE,3,12,2484,66.67,1,2.2534,0.0,1.0933333333333335,1871-2584,0.0,Springer Nature (Unified),Journal,"SOCIAL SCIENCES, INTERDISCIPLINARY",33.33,3.4,Q1,0,1,0,0.0,33.33,0,11,1,33.33,0.7000000000000001,81.4,0,0,0.0,0.0
GM CROPS & FOOD-BIOTECHNOLOGY IN AGRICULTURE AND THE FOOD CHAIN,2,12,2484,100.0,2,0.9736,0.0,0.77,2164-5698,0.0,Taylor & Francis (Unified),Journal,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;PLANT SCIENCES,100.0,3.9,Q1,0,0,0,0.0,0.0,0,12,1,50.0,1.7000000000000002,70.8,1,1,50.0,50.0
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1,12,2484,100.0,0,1.1113,0.0,1.25,1473-7159,0.0,Taylor & Francis (Unified),Journal,PATHOLOGY,0.0,5.1,Q1,0,0,0,0.0,0.0,0,12,1,100.0,1.0,83.6,0,0,0.0,0.0
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,6,12,2484,83.33,1,0.17628333333333335,0.0,0.43500000000000005,0037-5497,0.0,Sage (Unified),Journal,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;COMPUTER SCIENCE, SOFTWARE ENGINEERING",16.67,1.6,Q3,0,0,0,0.0,0.0,0,7,1,16.67,0.5,21.7,0,0,0.0,0.0
ENGINEERING DRUG DELIVERY SYSTEMS,1,12,2484,100.0,0,0.8673000000000001,0.0,2.79,n/a,0.0,,Book,n/a,0.0,n/a,n/a,0,0,0,0.0,0.0,0,12,0,0.0,n/a,n/a,0,0,0.0,0.0
PLANT GENOME,4,11,2568,50.0,4,0.38170000000000004,0.0,0.35750000000000004,1940-3372,0.0,Wiley (Unified),Journal,GENETICS & HEREDITY;PLANT SCIENCES,100.0,4.2,Q1,0,0,0,0.0,0.0,0,8,4,100.0,0.6,78.2,3,0,75.0,0.0
AMERICAN JOURNAL OF PRIMATOLOGY,4,11,2568,75.0,2,3.5955000000000004,0.0,2.245,0275-2565,25.0,Wiley (Unified),Journal,ZOOLOGY,50.0,2.4,Q1,1,1,0,25.0,25.0,1,7,4,100.0,0.9,86.2,0,1,0.0,25.0
JACS AU,2,11,2568,100.0,2,0.8105,0.0,0.53,n/a,0.0,,Journal,"CHEMISTRY, MULTIDISCIPLINARY",100.0,8.0,n/a,0,0,0,0.0,0.0,0,9,2,100.0,2.0,n/a,2,0,100.0,0.0
JOURNAL OF STATISTICAL SOFTWARE,1,11,2568,100.0,1,4.577,0.0,3.72,1548-7660,0.0,,Journal,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;STATISTICS & PROBABILITY",100.0,5.8,Q1,0,1,0,0.0,100.0,0,11,1,100.0,0.6,87.0,1,0,100.0,0.0
ANIMAL BIOLOGY,2,11,2568,100.0,0,0.7515000000000001,0.0,0.92,1570-7555,0.0,,Journal,ZOOLOGY,0.0,1.2,Q3,0,0,0,0.0,0.0,0,10,0,0.0,0.2,48.3,0,0,0.0,0.0
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,2,11,2568,50.0,2,0.328,0.0,0.29500000000000004,1542-7390,0.0,,Journal,ASTRONOMY & ASTROPHYSICS;GEOCHEMISTRY & GEOPHYSICS;METEOROLOGY & ATMOSPHERIC SCIENCES,100.0,3.7,Q2,0,0,0,0.0,0.0,0,9,1,50.0,0.9,67.4,0,1,0.0,50.0
MOLECULAR AND CELLULAR BIOCHEMISTRY,2,11,2568,50.0,1,0.42575,0.0,0.67,0300-8177,0.0,Springer Nature (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,50.0,4.3,Q2,0,0,0,0.0,0.0,0,11,0,0.0,0.9,51.6,0,0,0.0,0.0
JOURNAL OF ECONOMIC LITERATURE,1,11,2568,100.0,1,1.745,0.0,0.27,0022-0515,0.0,,Journal,ECONOMICS,100.0,12.6,Q1,0,0,0,0.0,0.0,0,11,1,100.0,3.8000000000000003,99.3,0,0,0.0,0.0
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,2,11,2568,50.0,2,0.5016,0.0,0.33,0096-3445,0.0,Amer Psychological Assoc (Unified),Journal,"PSYCHOLOGY, EXPERIMENTAL",100.0,4.1,Q1,0,0,0,0.0,0.0,0,11,2,100.0,0.7000000000000001,87.1,0,0,0.0,0.0
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,4,11,2568,100.0,0,0.19782500000000003,0.0,0.4175,0306-7319,0.0,Taylor & Francis (Unified),Journal,"CHEMISTRY, ANALYTICAL;ENVIRONMENTAL SCIENCES",0.0,2.6,Q3,0,0,0,0.0,0.0,0,10,0,0.0,0.7000000000000001,39.8,0,0,0.0,0.0
INTERNATIONAL MICROBIOLOGY,3,11,2568,100.0,3,0.2803,0.0,0.52,1139-6709,0.0,Springer Nature (Unified),Journal,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;MICROBIOLOGY,100.0,3.1,Q3,0,0,0,0.0,0.0,0,11,2,66.67,0.4,43.8,0,0,0.0,0.0
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,10,11,2568,60.0,4,0.8382200000000001,0.0,1.675,1084-7529,0.0,,Journal,OPTICS,40.0,1.9,Q3,0,0,0,0.0,0.0,0,10,5,50.0,0.5,31.5,0,0,0.0,0.0
THEORETICAL AND APPLIED MECHANICS LETTERS,1,11,2568,100.0,1,0.6957,0.0,1.76,2095-0349,0.0,Elsevier (Unified),Journal,MECHANICS,100.0,3.4,n/a,0,0,0,0.0,0.0,0,10,0,0.0,2.0,n/a,1,0,100.0,0.0
JOURNAL OF GEOMETRIC MECHANICS,4,11,2568,50.0,4,0.4786750000000001,0.0,1.1825,1941-4889,0.0,,Journal,"MATHEMATICS, APPLIED;PHYSICS, MATHEMATICAL",100.0,0.8,Q4,0,0,0,0.0,0.0,0,10,3,75.0,0.2,18.4,4,0,100.0,0.0
AMERICAN JOURNAL OF MENS HEALTH,1,11,2568,100.0,1,0.4621,0.0,0.92,1557-9883,0.0,Sage (Unified),Journal,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",100.0,2.3,Q3,0,0,0,0.0,0.0,0,11,0,0.0,0.4,39.2,0,0,0.0,0.0
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,2,11,2568,100.0,2,0.65235,0.0,0.34,0162-1459,0.0,Taylor & Francis (Unified),Journal,STATISTICS & PROBABILITY,100.0,3.7,Q1,0,0,0,0.0,0.0,0,11,2,100.0,0.5,88.4,0,1,0.0,50.0
JOURNAL OF PHYCOLOGY,4,11,2568,50.0,4,0.2977,0.0,0.35500000000000004,0022-3646,0.0,Wiley (Unified),Journal,MARINE & FRESHWATER BIOLOGY;PLANT SCIENCES,100.0,2.9,Q1,0,0,0,0.0,0.0,0,11,4,100.0,0.6,74.5,0,1,0.0,25.0
IET NANOBIOTECHNOLOGY,1,11,2568,100.0,1,0.7042,0.0,1.9000000000000001,1751-8741,0.0,,Journal,BIOCHEMICAL RESEARCH METHODS;NANOSCIENCE & NANOTECHNOLOGY,100.0,2.3,Q3,0,0,0,0.0,0.0,0,9,0,0.0,1.0,27.7,0,0,0.0,0.0
CRYSTALS,2,11,2568,100.0,2,0.5511,0.0,0.7650000000000001,2073-4352,0.0,,Journal,"CRYSTALLOGRAPHY;MATERIALS SCIENCE, MULTIDISCIPLINARY",100.0,2.7,Q2,0,0,0,0.0,0.0,0,8,2,100.0,0.7000000000000001,53.5,2,0,100.0,0.0
FOOD AND WATERBORNE PARASITOLOGY,1,11,2568,100.0,1,5.1405,0.0,3.39,2405-6766,0.0,Elsevier (Unified),Journal,PARASITOLOGY;VETERINARY SCIENCES,100.0,2.5,n/a,0,1,0,0.0,100.0,0,11,1,100.0,0.9,n/a,1,0,100.0,0.0
OPERATORS AND MATRICES,2,11,2568,50.0,2,2.34625,0.0,4.865,1846-3886,0.0,,Journal,MATHEMATICS,100.0,0.5,Q4,0,1,0,0.0,50.0,0,11,0,0.0,0.1,16.8,2,0,100.0,0.0
JMIR FORMATIVE RESEARCH,2,11,2568,100.0,2,0.8843000000000001,0.0,1.4050000000000002,n/a,0.0,,Journal,HEALTH CARE SCIENCES & SERVICES;MEDICAL INFORMATICS,100.0,2.2,n/a,0,0,0,0.0,0.0,0,10,2,100.0,0.4,n/a,2,0,100.0,0.0
FOREST PATHOLOGY,3,11,2568,100.0,2,0.4085000000000001,0.0,0.7466666666666667,1437-4781,0.0,Wiley (Unified),Journal,FORESTRY,66.67,1.4,Q3,0,0,0,0.0,0.0,0,11,0,0.0,0.2,34.1,0,0,0.0,0.0
ZYGOTE,2,11,2568,100.0,1,0.3396,0.0,0.8700000000000001,0967-1994,0.0,,Journal,CELL BIOLOGY;DEVELOPMENTAL BIOLOGY;REPRODUCTIVE BIOLOGY,50.0,1.7,Q4,0,0,0,0.0,0.0,0,11,0,0.0,0.6,10.1,0,0,0.0,0.0
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,4,11,2568,50.0,1,0.5134000000000001,0.0,0.75,0893-6692,0.0,Wiley (Unified),Journal,ENVIRONMENTAL SCIENCES;GENETICS & HEREDITY;TOXICOLOGY,25.0,2.8,Q3,0,0,0,0.0,0.0,0,11,1,25.0,1.0,42.0,0,0,0.0,0.0
RAPID PROTOTYPING JOURNAL,1,11,2568,100.0,0,0.6451,0.0,0.9,1355-2546,0.0,,Journal,"ENGINEERING, MECHANICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY",0.0,3.9,Q2,0,0,0,0.0,0.0,0,9,1,100.0,2.0,65.5,0,0,0.0,0.0
CELL DEATH DISCOVERY,1,11,2568,100.0,1,0.8515,0.0,0.87,n/a,0.0,Springer Nature (Unified),Journal,CELL BIOLOGY,100.0,7.0,Q2,0,0,0,0.0,0.0,0,11,0,0.0,1.4000000000000001,74.6,1,0,100.0,0.0
ECOLOGICAL COMPLEXITY,2,11,2568,100.0,0,0.45755,0.0,0.625,1476-945X,0.0,Elsevier (Unified),Journal,ECOLOGY,0.0,3.5,Q2,0,0,0,0.0,0.0,0,11,2,100.0,0.9,68.7,0,0,0.0,0.0
LOGICAL METHODS IN COMPUTER SCIENCE,7,11,2568,42.86,4,0.41522857142857145,0.0,0.7485714285714286,1860-5974,0.0,,Journal,"COMPUTER SCIENCE, THEORY & METHODS;LOGIC",57.14,0.6,Q3,0,1,0,0.0,14.29,0,11,6,85.71,0.2,26.5,4,0,57.14,0.0
INFLAMMATION,1,11,2568,100.0,0,0.4994,0.0,0.6,0360-3997,0.0,Springer Nature (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY;IMMUNOLOGY,0.0,5.1,Q2,0,0,0,0.0,0.0,0,11,0,0.0,1.0,60.2,0,0,0.0,0.0
DRUG DISCOVERY TODAY,2,11,2568,50.0,0,0.85765,0.0,0.73,1359-6446,0.0,Elsevier (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;PHARMACOLOGY & PHARMACY,0.0,7.4,Q1,0,0,0,0.0,0.0,0,11,1,50.0,2.2,91.9,0,0,0.0,0.0
METHODSX,9,11,2568,44.44,9,0.2595222222222222,0.0,0.4833333333333334,n/a,0.0,Elsevier (Unified),Journal,MULTIDISCIPLINARY SCIENCES,100.0,1.9,n/a,0,0,0,0.0,0.0,0,11,2,22.22,0.4,n/a,7,0,77.78,0.0
INVESTIGATIONAL NEW DRUGS,3,11,2568,66.67,3,0.34803333333333336,0.0,0.39666666666666667,0167-6997,0.0,Springer Nature (Unified),Journal,ONCOLOGY;PHARMACOLOGY & PHARMACY,100.0,3.4,Q2,0,0,0,0.0,0.0,0,10,1,33.33,0.8,51.8,0,0,0.0,0.0
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,3,11,2568,66.67,2,0.6556000000000001,0.0,0.5533333333333333,0952-4622,0.0,Taylor & Francis (Unified),Journal,ZOOLOGY,66.67,1.8,Q2,0,0,0,0.0,0.0,0,11,3,100.0,0.6,69.8,0,1,0.0,33.33
FRONTIERS IN ARTIFICIAL INTELLIGENCE,3,11,2568,66.67,3,0.6566000000000001,0.0,1.5999999999999999,n/a,0.0,,Journal,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;COMPUTER SCIENCE, INFORMATION SYSTEMS",100.0,4.0,n/a,0,0,0,0.0,0.0,0,11,2,66.67,0.4,n/a,3,0,100.0,0.0
"PERTUSSIS INFECTION AND VACCINES: ADVANCES IN MICROBIOLOGY, INFECTIOUS DISEASES AND PUBLIC HEALTH, VOL 12",1,11,2568,100.0,0,0.6859000000000001,0.0,0.77,n/a,0.0,Springer Nature (Unified),Book,n/a,0.0,n/a,n/a,0,0,0,0.0,0.0,0,11,0,0.0,n/a,n/a,0,0,0.0,0.0
NANOPHOTONICS,1,11,2568,100.0,1,1.1206,0.0,1.04,2192-8606,0.0,Walter De Gruyter (Unified),Journal,"MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY;OPTICS;PHYSICS, APPLIED",100.0,7.5,Q1,0,0,0,0.0,0.0,0,10,1,100.0,2.2,80.8,1,0,100.0,0.0
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,3,11,2568,66.67,3,0.36023333333333335,0.0,0.31333333333333335,1939-1404,0.0,IEEE (Unified),Journal,"ENGINEERING, ELECTRICAL & ELECTRONIC;GEOGRAPHY, PHYSICAL;IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY;REMOTE SENSING",100.0,5.5,Q1,0,0,0,0.0,0.0,0,10,2,66.67,1.0,80.8,2,1,66.67,33.33
BRITISH JOURNAL OF RADIOLOGY,1,11,2568,100.0,1,1.7205000000000001,0.0,2.37,0007-1285,0.0,,Journal,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",100.0,2.8,Q3,0,0,0,0.0,0.0,0,11,0,0.0,1.3,50.0,0,0,0.0,0.0
GALAXIES,12,11,2568,41.67,12,0.20200833333333335,0.0,0.2575,n/a,0.0,,Journal,ASTRONOMY & ASTROPHYSICS,100.0,2.5,n/a,0,0,0,0.0,0.0,0,8,10,83.33,1.4000000000000001,n/a,12,0,100.0,0.0
ENVIRONMENTAL TOXICOLOGY,2,11,2568,50.0,0,0.33075,0.0,0.33,1520-4081,0.0,Wiley (Unified),Journal,ENVIRONMENTAL SCIENCES;TOXICOLOGY;WATER RESOURCES,0.0,4.5,Q1,0,0,0,0.0,0.0,0,9,1,50.0,1.3,75.8,0,0,0.0,0.0
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,5,11,2568,100.0,0,0.6462399999999999,0.0,1.464,0008-4212,0.0,,Journal,PHARMACOLOGY & PHARMACY;PHYSIOLOGY,0.0,2.1,Q3,0,0,0,0.0,0.0,0,11,1,20.0,0.5,26.2,0,0,0.0,0.0
BULLETIN OF GEOSCIENCES,5,11,2568,60.0,5,0.335,0.0,0.512,1214-1119,0.0,,Journal,"GEOSCIENCES, MULTIDISCIPLINARY;PALEONTOLOGY",100.0,1.9,Q2,0,0,0,0.0,0.0,0,10,4,80.0,0.8,51.8,5,0,100.0,0.0
EXPERT REVIEWS IN MOLECULAR MEDICINE,1,11,2568,100.0,0,1.4563000000000001,0.0,2.62,1462-3994,0.0,,Journal,"BIOCHEMISTRY & MOLECULAR BIOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",0.0,6.2,Q1,0,0,0,0.0,0.0,0,11,0,0.0,1.1,78.7,0,0,0.0,0.0
TREE GENETICS & GENOMES,3,11,2568,66.67,1,0.4481,0.0,0.6733333333333333,1614-2942,0.0,Springer Nature (Unified),Journal,FORESTRY;GENETICS & HEREDITY;HORTICULTURE,33.33,2.4,Q1,0,0,0,0.0,0.0,0,11,3,100.0,0.6,58.8,0,0,0.0,0.0
JOURNAL OF OPHTHALMIC & VISION RESEARCH,1,11,2568,100.0,1,1.0968,0.0,1.8800000000000001,2008-2010,0.0,,Journal,OPHTHALMOLOGY,100.0,2.0,n/a,0,0,0,0.0,0.0,0,11,0,0.0,0.5,n/a,1,0,100.0,0.0
EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,6,11,2568,66.67,1,0.3097666666666667,0.0,0.6266666666666668,1755-6910,0.0,,Journal,"GEOSCIENCES, MULTIDISCIPLINARY;PALEONTOLOGY",16.67,1.2,Q3,0,0,0,0.0,0.0,0,11,4,66.67,0.1,22.5,0,1,0.0,16.67
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,2,11,2568,50.0,1,0.38535,0.0,0.465,0005-2728,0.0,Elsevier (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOPHYSICS,50.0,4.3,Q1,0,0,0,0.0,0.0,0,11,2,100.0,0.7000000000000001,70.1,0,1,0.0,50.0
MATERIALS CHEMISTRY FRONTIERS,2,11,2568,50.0,2,0.30870000000000003,0.0,0.29500000000000004,n/a,0.0,,Journal,"CHEMISTRY, MULTIDISCIPLINARY;MATERIALS SCIENCE, MULTIDISCIPLINARY",100.0,7.0,Q1,0,0,0,0.0,0.0,0,11,2,100.0,1.2,77.1,0,1,0.0,50.0
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,5,11,2568,80.0,1,0.6214999999999999,0.0,0.7100000000000001,1528-7394,0.0,Taylor & Francis (Unified),Journal,"ENVIRONMENTAL SCIENCES;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;TOXICOLOGY",20.0,2.6,Q3,0,0,0,0.0,0.0,0,6,1,20.0,0.8,35.5,0,0,0.0,0.0
TROPICAL DOCTOR,2,11,2568,100.0,1,0.8352999999999999,0.0,3.9400000000000004,0049-4755,0.0,Sage (Unified),Journal,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;TROPICAL MEDICINE",50.0,0.6,Q4,0,0,0,0.0,0.0,0,11,0,0.0,0.1,8.9,0,0,0.0,0.0
PRIMATES,4,11,2568,100.0,1,0.4906,0.0,0.535,0032-8332,0.0,Springer Nature (Unified),Journal,ZOOLOGY,25.0,1.7,Q2,0,0,0,0.0,0.0,0,10,2,50.0,0.6,68.1,0,0,0.0,0.0
PSICODEBATE-PSICOLOGIA CULTURA Y SOCIEDAD,24,11,2568,33.33,21,0.056466666666666665,0.0,0.40958333333333335,1515-2251,0.0,,Journal,"PSYCHOLOGY, MULTIDISCIPLINARY",87.5,0.4,n/a,0,0,0,0.0,0.0,0,11,4,16.67,0.1,n/a,21,0,87.5,0.0
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,4,11,2568,50.0,2,0.43352500000000005,0.0,0.425,0044-2275,0.0,Springer Nature (Unified),Journal,"MATHEMATICS, APPLIED",50.0,2.0,Q2,0,0,0,0.0,0.0,0,11,2,50.0,0.4,74.7,0,0,0.0,0.0
TRANSFORMATION GROUPS,6,11,2568,83.33,6,0.43165000000000003,0.0,0.5683333333333334,1083-4362,0.0,Springer Nature (Unified),Journal,MATHEMATICS,100.0,0.7,Q3,0,0,0,0.0,0.0,0,11,1,16.67,0.1,38.6,0,0,0.0,0.0
QUESTION,121,11,2568,5.79,115,0.013662809917355372,0.0,0.511404958677686,1669-6581,0.0,,Journal,COMMUNICATION,95.04,0.1,n/a,0,0,0,0.0,0.0,0,11,3,2.48,0.0,n/a,115,0,95.04,0.0
LIFE SCIENCE ALLIANCE,3,11,2568,66.67,3,0.5941333333333333,0.0,0.5533333333333333,n/a,0.0,,Journal,BIOLOGY,100.0,4.4,Q1,0,0,0,0.0,0.0,0,11,2,66.67,1.1,77.7,3,0,100.0,0.0
FIRST LANGUAGE,1,11,2568,100.0,1,2.665,0.0,2.68,0142-7237,0.0,Sage (Unified),Journal,"LANGUAGE & LINGUISTICS;LINGUISTICS;PSYCHOLOGY, DEVELOPMENTAL",100.0,1.9,Q2,0,1,0,0.0,100.0,0,10,0,0.0,1.4000000000000001,45.6,0,0,0.0,0.0
TEACHING AND TEACHER EDUCATION,1,11,2568,100.0,0,1.9437,0.0,0.8200000000000001,0742-051X,0.0,Elsevier (Unified),Journal,EDUCATION & EDUCATIONAL RESEARCH,0.0,3.9,Q1,0,0,0,0.0,0.0,0,9,1,100.0,0.7000000000000001,82.0,0,0,0.0,0.0
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,3,11,2568,66.67,2,0.41019999999999995,0.0,0.5700000000000001,0020-7462,0.0,Elsevier (Unified),Journal,MECHANICS,66.67,3.2,Q2,0,0,0,0.0,0.0,0,8,0,0.0,1.0,65.3,0,0,0.0,0.0
BREAST CANCER,2,11,2568,100.0,0,1.04255,0.0,1.1300000000000001,1340-6868,0.0,Springer Nature (Unified),Journal,OBSTETRICS & GYNECOLOGY;ONCOLOGY,0.0,4.0,Q1,0,0,0,0.0,0.0,0,11,1,50.0,1.2,70.5,0,0,0.0,0.0
FREE RADICAL RESEARCH,3,11,2568,66.67,0,0.17866666666666667,0.0,0.22999999999999998,1071-5762,0.0,Taylor & Francis (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY,0.0,3.3,Q3,0,0,0,0.0,0.0,0,9,2,66.67,1.0,42.6,0,0,0.0,0.0
ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,1,11,2568,100.0,1,1.5561,0.0,1.3800000000000001,1011-2367,0.0,,Journal,"AGRICULTURE, DAIRY & ANIMAL SCIENCE;VETERINARY SCIENCES",100.0,n/a,n/a,0,0,0,0.0,0.0,0,11,0,0.0,n/a,n/a,1,0,100.0,0.0
BIOELECTROMAGNETICS,3,11,2568,100.0,1,0.39620000000000005,0.0,1.0766666666666667,0197-8462,0.0,Wiley (Unified),Journal,BIOLOGY;BIOPHYSICS,33.33,1.9,Q3,0,0,0,0.0,0.0,0,11,2,66.67,0.2,30.0,0,0,0.0,0.0
